---

### HSK1级

#### 篇目1：饮食习俗 – 我喜欢吃饺子  
1. 饺子是中国的食物。  
2. 饺子很好吃。  
3. 妈妈做饺子。  
4. 饺子里面有肉和菜。  
5. 春节的时候，我们吃饺子。  
6. 一家人一起吃饺子。  
7. 我也喜欢做饺子。  
8. 先和面，再包馅。  
9. 煮饺子要等水开。  
10. 吃饺子可以蘸醋。  

#### 篇目2：神话传说 – 天上的太阳  
1. 天上有太阳。  
2. 太阳很大，很热。  
3. 以前天上有十个太阳。  
4. 太阳太热了，人们很热。  
5. 一个男人叫后羿。  
6. 后羿会射箭。  
7. 他射下了九个太阳。  
8. 现在天上只有一个太阳。  
9. 人们不热了。  
10. 大家感谢后羿。  

---

### HSK2级

#### 篇目1：历史故事 – 司马光砸缸  
1. 古代有一个小孩叫司马光。  
2. 有一天，他和朋友在院子里玩。  
3. 院子里有一个大水缸。  
4. 一个朋友不小心掉进水缸里。  
5. 水缸很高，水也很深。  
6. 大家都很害怕，不知道怎么办。  
7. 司马光没有跑。  
8. 他拿起一块大石头，砸向水缸。  
9. 水缸破了，水流出来了。  
10. 那个朋友得救了。  

#### 篇目2：道德伦理 – 分享玩具  
1. 小明的妈妈给他买了一个新玩具。  
2. 小明很高兴。  
3. 他的朋友小华也想玩。  
4. 小明说：“我们一起玩吧。”  
5. 小华说：“谢谢你，小明。”  
6. 他们一起玩得很开心。  
7. 妈妈看见了，笑着说：“分享是好事。”  
8. 小明觉得分享让别人快乐。  
9. 他自己也更快乐了。  
10. 对人好，别人也会对你好。  

---

### HSK3级

#### 篇目1：寓言童话 – 狐假虎威  
1. 老虎在森林里抓到了一只狐狸。  
2. 狐狸很聪明，它说：“你不能吃我！”  
3. 老虎问：“为什么？”  
4. 狐狸说：“天帝派我做百兽的首领。你吃了我，就是违抗天帝的命令。”  
5. 老虎不太相信。  
6. 狐狸说：“你跟我走，看看动物们怕不怕我。”  
7. 老虎跟着狐狸在森林里走。  
8. 动物们看见老虎来了，都吓得跑开了。  
