一会儿	数量
一起	副
万	数
丈夫	名
上去	动
上来	动
上网	动
上面	名
下去	动
下来	动
下面	名
不好意思
不错	形
个子	名
为什么
书包	名
事情	名
介绍	动
从	介
从小	副
但	连
但是	连
位	量
公交车	名
准备	动
出	动
出去	动
出国	动
出来	动
出门	动
别	副
前面	名
动	动
包	动、名、量
可能	动、名、形
右	名
右边	名
名	名、量
后面	名
告诉	动
周	名
咖啡	名
商场	名
啊	助
回去	动
回来	动
因为	介、连
地	助
地铁	名
坏	形
外国	名
外面	名
多	动、数
头	名
女孩儿	名
奶奶	名
奶茶	名
好	副
妻子	名
姓	动、名
姓名	名
完	动
小孩儿	名
小时候	名
就	副
左	名
左边	名
已经	副
希望	动
帮	动
帮忙	动
床	名
开始	动、名
开学	动
往	介、动
得	助
忘	动
快	副、形
快乐	形
快要	副
意思	名
慢	形
懂	动
所以	连
手	名
手表	名
打	动
打开	动
打车	动
拿	动
教	动
教室	名
旁边	名
旅游	动
时	名
晴	形
最	副
有意思
有时（候）	副
本子	名
机场	名
机票	名
条	量
楼	名
次	量
正	副
每	代
比	介、动
没意思
洗	动
洗手间	名
游	动
游泳	动
点	动
爱好	动、名
爷爷	名
班	名
球	名
生日	名
男孩儿	名
画	动、名
疼	形
白色	名
眼睛	名
着	助
票	名
离	动
站	名
笑	动
笔	名
等	动
篮球	名
累	动、形
红色	名
红茶	名
经常	副
给	介
绿色	名
绿茶	名
网上	名
考	动
考试	动、名
肉	名
自己	代
舒服	形
花	动、名
药	名
药店	名
虽然	连
裤子	名
让	动
记得	动
词	名
走	动
走路	动
起来	动
足球	名
跑	动
跑步	动
跟	介、连
路	名
路上	名
跳舞	动
踢	动
身体	名
车站	名
过	动、助
过去	动
过年	动
过来	动
运动	动、名
近	形
还是	副、连
这么	代
这样	代
进	动
进去	动
进来	动
远	形
送	动
那	连
那么	代、连
那样	代
酒店	名
里面	名
错	形
长	形
门	名
门口	名
门票	名
间	量
阴	形
面	后缀
题	名
颜色	名
飞	动
饭馆	名
高	名、形
高中	名
鱼	名
鸟	名
黑色	名
